Date,Sum,Profit
2024-09-17,750435032,109539710
2024-09-18,750328284,109485582
2024-09-19,755378306,113864696
2024-09-20,774990243,120786387
2024-09-21,773727275,119523418
2024-09-23,774938447,120252228
2024-09-24,776879982,121787873
2024-09-25,776013172,121729909
2024-09-26,768930170,116291322
2024-09-28,764711932,115427693
2024-10-02,769689420,115645851
2024-10-04,777714465,119323733
2024-10-05,782673425,122021890
2024-10-06,782465387,121990460
2024-10-07,785834149,125410995
2024-10-08,782335219,121832039
2024-10-10,789395417,128627291
2024-10-11,787575829,127072649
2024-10-15,803979398,140574316
2024-10-16,801049672,137622523
2024-10-17,808014238,143196862
2024-10-18,809842010,144490051
2024-10-19,810307442,145264422
2024-10-21,817105647,147707236
2024-10-22,811919479,142521067
2024-10-23,811989068,141553503
2024-10-24,807311316,137692234
2024-10-25,814082885,142301228
2024-10-29,813152157,142275251
2024-10-30,810359421,139725252
2024-10-31,807844254,138070702
2024-11-01,801375494,132352224
2024-11-02,803224421,133274332
2024-11-04,798474150,130510100
2024-11-05,801989972,132239223
2024-11-06,818597771,144769568
2024-11-07,831582090,157570637
2024-11-08,828134433,156043378
2024-11-11,835614511,161664780
2024-11-12,840709418,163896121
2024-11-19,823713379,150608339
2024-11-20,823749741,150245218
2024-11-21,832366420,152844209
2024-11-22,842798092,160183032
2024-11-23,847291728,164080668
2024-11-25,852629998,168200564
2024-11-26,850185038,168379158
2024-11-27,851095241,169651839
2024-11-28,848642824,167662978
2024-11-29,849393476,168391556
2024-11-30,851492280,170269619
2024-12-02,853959316,171522579
2024-12-03,854199624,171674591
2024-12-04,857554941,172058718
2024-12-05,857154645,170411768
2024-12-06,858782759,170958058
2024-12-23,849204358,150315903
2024-12-24,853354612,152924915
2024-12-25,858441811,156471752
2024-12-26,864551152,161687619
2024-12-30,861344148,156671332
2024-12-31,857880477,153095976
2025-01-02,870657304,151370414
2025-01-03,868558777,149105660
2025-01-06,875459297,155312556
2025-01-07,866948537,149890273
2025-01-08,864971014,147420452
2025-01-09,868481728,149857065
2025-01-10,867778501,149198592
2025-01-13,864100349,143148464
2025-01-14,865935071,147123361
2025-01-15,868281890,149492557
2025-01-16,877207018,159402279
2025-01-17,872686833,158581122
2025-01-18,880881746,161798685
2025-01-20,879518481,162024195
2025-01-21,874722278,159667101
2025-01-22,879140105,164599601
2025-01-23,876742112,162223986
2025-01-24,883188723,163011011
2025-01-31,914761521,170413818
2025-02-01,909827938,169242697
2025-02-03,906640543,164086104
2025-02-04,904929879,163427171
2025-02-05,900567929,161874945
2025-02-06,907089183,167892864
2025-02-07,904288693,164854361
2025-02-10,902828408,160779831
2025-02-11,907678957,165042977
2025-02-12,910071346,167390593
2025-02-13,905175398,163815466
2025-02-14,908690023,169121033
2025-02-15,908587565,168190264
2025-02-17,907760792,167721679
2025-02-18,909360584,168942833
2025-02-19,910797562,171239637
2025-02-20,913890580,174489363
2025-02-21,913066617,174516097
2025-02-24,904704033,167519108
2025-02-25,904426578,166502888
2025-02-26,906279884,168087553
2025-02-27,906248272,165839649
2025-02-28,908910913,164584603
2025-03-01,915050989,170165010
2025-03-04,912945920,168821091
2025-03-05,900046417,157287182
2025-03-06,897639449,157118892
2025-03-07,894357037,153097716
2025-03-10,904084342,161593748
2025-03-11,897416024,154455309
2025-03-12,882661505,140506713
2025-03-13,879412463,136586068
2025-03-14,875479805,132653409
2025-03-15,881772023,139012788
2025-03-17,881406224,139520074
2025-03-18,891874721,149451288
2025-03-19,889842989,147262848
2025-03-20,900190393,156043178
2025-03-21,898270565,153205491
2025-03-22,897025152,151579504
2025-03-24,900409408,154695118
2025-03-25,908795777,162387497
2025-03-26,904021811,158486616
2025-03-27,901602069,156223581
2025-03-31,892524530,145534193
2025-04-01,900717056,154107294
2025-04-02,898746474,153009797
2025-04-03,894823016,147806854
2025-04-04,854191245,112414233
2025-04-07,816555362,67035495
2025-04-08,827755652,76567562
2025-04-09,807216553,55149265
2025-04-10,854598952,106422374
2025-04-11,831387243,85171954
2025-04-14,826356690,86656487
2025-04-15,832969976,91984790
2025-04-16,828717922,87418236
2025-04-17,820366971,80329723
2025-04-18,826522506,85628604
2025-04-19,827252060,85974917
2025-04-21,821536265,81679366
2025-04-22,815441157,74330531
2025-04-23,829048745,88141011
2025-04-24,835988243,92375283
2025-04-25,846655314,103425594
2025-04-26,849877090,105294757
2025-04-28,852300930,106050375
2025-04-29,851987153,107900778
2025-04-30,845554725,105165493
2025-05-01,847010843,105314084
2025-05-02,839820010,101331807
2025-05-03,841931406,105070848
2025-05-07,833437741,98065142
2025-05-12,842523287,104376074
2025-05-13,878196449,125422766
2025-05-14,905227110,127611407
2025-05-15,905923795,113800371
2025-05-16,911279256,118186374
2025-05-17,916480559,123274949
2025-05-19,935392886,123709256
2025-05-20,956348995,124835279
2025-05-21,972985018,121449079
2025-05-22,961893947,107090254
2025-05-23,956722540,103316780
2025-05-26,952607345,101230843
2025-05-27,956557279,103625013
2025-05-28,968993679,115136972
2025-05-29,968707429,116023183
2025-05-30,969559268,115206521
2025-05-31,970174521,114626767
2025-06-02,963571788,110391501
2025-06-04,976131476,122928642
2025-06-07,968889875,117295245
2025-06-09,969510779,118389993
2025-06-10,977205443,124798508
2025-06-11,989442781,135366109
2025-06-12,978091972,127196826
2025-06-13,985132641,132048786
2025-06-16,980986610,129504800
2025-06-17,982640658,130820387
2025-06-18,982948859,129165519
2025-06-19,984776906,128804857
2025-06-20,979066663,125341556
2025-06-21,980740903,126060070
2025-06-23,987875166,130892773
2025-06-24,987363861,130453214
2025-06-25,991546058,134409696
2025-06-26,990536151,126784576
2025-06-27,993538653,129403362
2025-06-30,992356331,130252479
2025-07-01,1000238309,136079336
2025-07-02,1013416584,146318580
2025-07-05,1023624825,155535177
2025-07-07,1026517174,157055279
2025-07-08,1022796114,153470473
2025-07-09,1029522686,158652835
2025-07-10,1031051245,161021626
2025-07-11,1037732479,166908046
2025-07-14,1037333217,165055411
2025-07-15,1041067801,168576742
2025-07-16,1033532371,159915410
2025-07-17,1040661442,165632764
2025-07-18,1047975745,172833420
2025-07-21,1050834902,169624244
2025-07-22,1049270294,168059635
2025-07-23,1050017671,170579915
2025-07-24,1045287628,168441038
2025-07-25,1051284717,172324282
2025-07-28,1055562855,175829616
2025-07-29,1063553314,177403554
2025-07-30,1055280282,171517121
2025-07-31,1055152182,170116168
2025-08-01,1051552707,162074319
2025-08-04,1034890062,149980308
2025-08-05,1049415502,162787527
2025-08-06,1049967516,163284053
2025-08-07,1046928025,162358931
2025-08-08,1053664717,167140400
2025-08-11,1058495786,172335231
2025-08-12,1056687925,170140873
2025-08-13,1060225777,175997709
2025-08-14,1068245302,182994153
2025-08-18,1066232062,180769225
2025-08-25,1087016268,191245206
2025-08-26,1089985763,191490978
2025-08-27,1092435084,193913985
2025-08-28,1088788061,192563462
2025-08-29,1111929078,194553993
2025-09-02,1110706754,193695471
2025-09-03,1108611311,190465560
2025-09-04,1109594503,191244114
2025-09-05,1115128184,196923936
2025-09-08,1114096639,196142588
2025-09-09,1112945189,195150354
2025-09-10,1113367207,196159383
2025-09-11,1118368834,199887256
2025-09-12,1124253334,206945489
2025-09-13,1124116119,205443537
2025-09-15,1122151850,204857750
2025-09-16,1118172617,202675422
2025-09-17,1118880557,203565326
2025-09-18,1125073108,208142971
2025-09-19,1135491893,211647724
2025-09-22,1135700251,212401978
2025-09-23,1139943192,216087831
2025-09-24,1143347117,218650081
2025-09-25,1140936282,215443067
2025-09-26,1145245020,217135787
2025-09-29,1144791185,219904133
2025-09-30,1149079039,223077308
2025-10-01,1151487351,223531364
2025-10-02,1158739512,229813767
2025-10-04,1159869103,229474391
2025-10-10,1172063675,238558009
2025-10-13,1161204201,226346087
2025-10-14,1170568023,234541850
2025-10-15,1174037943,240920466
2025-10-16,1169754892,236729028
2025-10-17,1163218950,229651747
2025-10-20,1169449416,235938567
2025-10-21,1187043833,247083693
2025-10-22,1186737560,245909530
2025-10-23,1187903271,244991025
2025-10-24,1191269154,248998205
2025-10-25,1193591840,250656690
2025-10-27,1193489139,251996908
2025-10-28,1198981371,256412677
2025-10-29,1197285196,256228131
2025-10-30,1187274930,246790452
2025-10-31,1184476924,244519225
2025-11-01,1186658893,245849782
2025-11-03,1186564302,245640671
2025-11-04,1184947425,242580858
2025-11-10,1198964054,251434108
2025-11-11,1214845453,265007533
2025-11-12,1227535716,276964686
2025-11-15,1208529404,260730449
2025-11-17,1209889487,261095885
2025-11-18,1198470078,248048483
2025-11-19,1200825524,250151911
2025-11-20,1206994973,256069342
2025-11-21,1195998264,238791896
2025-11-24,1211396772,253747243
2025-11-25,1216315952,260086889
2025-11-27,1227830098,273342251
2025-11-28,1234676908,277989630
2025-12-01,1236570063,280263167
2025-12-02,1234457777,278586186
2025-12-03,1236857805,280648568
2025-12-04,1248549076,290781921
2025-12-05,1247894627,290366540
2025-12-06,1249277743,290716390
2025-12-08,1246218313,289284137
2025-12-09,1242834949,283105035
2025-12-10,1240759475,280752525
2025-12-11,1245105534,284890806
2025-12-12,1247990922,251137120
2025-12-13,1237817705,241148006
2025-12-16,1227003925,230923356
2025-12-17,1230896970,233638141
2025-12-18,1216166899,219313097
2025-12-19,1225440227,228218219
2025-12-20,1232896602,234938181
2025-12-22,1241167099,243319140
2025-12-23,1250931921,252568473
2025-12-24,1233636376,246355941
